#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
Mycobacterium_bovis_AF2122/97	NC_002945.4	15589	17469	-	1090759	pknB	BQ2027_MB0014C	YP_009357344.1	626	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B)
Mycobacterium_bovis_AF2122/97	NC_002945.4	17466	18761	-	1090760	pknA	BQ2027_MB0015C	YP_009357345.1	431	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A)
Mycobacterium_bovis_AF2122/97	NC_002945.4	18758	20233	-	1093759	pbpA	BQ2027_MB0016C	YP_009357346.1	491	PROBABLE PENICILLIN-BINDING PROTEIN PBPA
Mycobacterium_bovis_AF2122/97	NC_002945.4	20230	21639	-	1093760	rodA	BQ2027_MB0017C	YP_009357347.1	469	PROBABLE CELL DIVISION PROTEIN RODA
Mycobacterium_bovis_AF2122/97	NC_002945.4	21636	23180	-	1090884	pstp	BQ2027_MB0018C	YP_009357348.1	514	phosphoserine/threonine phosphatase pstp
Mycobacterium_bovis_AF2122/97	NC_002945.4	23269	23736	-	1094011	fhab	BQ2027_MB0019C	YP_009357349.1	155	conserved protein with fha domain, fhab
Mycobacterium_bovis_AF2122/97	NC_002945.4	23860	25425	-	1092293	fhaa	BQ2027_MB0020C	YP_009357350.1	521	conserved protein with fha domain, fhaa
Mycobacterium_bovis_AF2122/97	NC_002945.4	25894	26862	-	1092276	-	BQ2027_MB0021C	YP_009357351.1	322	CONSERVED HYPOTHETICAL PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	27004	27423	-	1092277	whiB5	BQ2027_MB0022C	YP_009357352.1	139	probable transcriptional regulatory protein whib-like whib5
Mycobacterium_bovis_AF2122/97	NC_002945.4	27576	28346	+	1092278	-	BQ2027_MB0023	YP_009357353.1	256	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	28343	29176	+	1092279	-	BQ2027_MB0024	YP_009357354.1	277	PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	29225	29587	+	1092281	-	BQ2027_MB0026	YP_009357355.1	120	CONSERVED HYPOTHETICAL PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	29702	31135	+	1092282	-	BQ2027_MB0027	YP_009357356.1	477	CONSERVED HYPOTHETICAL PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	31173	31490	+	1092283	-	BQ2027_MB0028	YP_009357357.1	105	conserved hypothetical protein
Mycobacterium_bovis_AF2122/97	NC_002945.4	31498	31803	+	1094026	-	BQ2027_MB0029	YP_009357358.1	101	conserved hypothetical protein
Mycobacterium_bovis_AF2122/97	NC_002945.4	32041	33138	+	1092275	-	BQ2027_MB0030	YP_009357359.1	365	CONSERVED HYPOTHETICAL PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	33208	33537	+	1094032	-	BQ2027_MB0031	YP_009357360.1	109	conserved hypothetical protein
Mycobacterium_bovis_AF2122/97	NC_002945.4	33566	33778	+	1092291	-	BQ2027_MB0032	YP_009357361.1	70	possible remnant of a transposase
Mycobacterium_bovis_AF2122/97	NC_002945.4	34279	36594	+	1092285	bioF2	BQ2027_MB0033	YP_009357362.1	771	POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE)
Mycobacterium_bovis_AF2122/97	NC_002945.4	36591	36854	+	1092284	acpA	BQ2027_MB0034	YP_009357363.1	87	PROBABLE ACYL CARRIER PROTEIN ACPA (ACP)
Mycobacterium_bovis_AF2122/97	NC_002945.4	36851	37246	+	1092286	-	BQ2027_MB0035	YP_009357364.1	131	CONSERVED HYPOTHETICAL PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	37243	38931	+	1092287	fadD34	BQ2027_MB0036	YP_009357365.1	562	PROBABLE FATTY-ACID-COA LIGASE FADD34 (FATTY-ACID-COA SYNTHETASE) (FATTY-ACID-COA SYNTHASE)
Mycobacterium_bovis_AF2122/97	NC_002945.4	39040	39813	-	1092288	-	BQ2027_MB0037C	YP_009357366.1	257	conserved protein
Mycobacterium_bovis_AF2122/97	NC_002945.4	39861	41186	-	1092289	-	BQ2027_MB0038C	YP_009357367.1	441	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	41288	41896	+	1092290	-	BQ2027_MB0039	YP_009357368.1	202	conserved protein
Mycobacterium_bovis_AF2122/97	NC_002945.4	41988	42335	-	1092292	-	BQ2027_MB0040C	YP_009357369.1	115	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	42417	43349	-	1090742	mtc28	BQ2027_MB0041C	YP_009357370.1	310	SECRETED PROLINE RICH PROTEIN MTC28 (PROLINE RICH 28 KDA ANTIGEN)
Mycobacterium_bovis_AF2122/97	NC_002945.4	43546	46455	+	1090740	leuS	BQ2027_MB0042	YP_009357371.1	969	PROBABLE LEUCYL-tRNA SYNTHETASE LEUS (LEUCINE--tRNA LIGASE) (LEURS)
Mycobacterium_bovis_AF2122/97	NC_002945.4	46565	47191	-	1090741	-	BQ2027_MB0043C	YP_009357372.1	208	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY)
Mycobacterium_bovis_AF2122/97	NC_002945.4	47350	48084	-	1090738	-	BQ2027_MB0044C	YP_009357373.1	244	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY)
Mycobacterium_bovis_AF2122/97	NC_002945.4	48217	49011	-	1090739	-	BQ2027_MB0045C	YP_009357374.1	264	POSSIBLE OXIDOREDUCTASE
Mycobacterium_bovis_AF2122/97	NC_002945.4	49027	49923	-	1090737	-	BQ2027_MB0046C	YP_009357375.1	298	POSSIBLE HYDROLASE
Mycobacterium_bovis_AF2122/97	NC_002945.4	50005	51108	-	1090736	ino1	BQ2027_MB0047C	YP_009357376.1	367	MYO-INOSITOL-1-PHOSPHATE SYNTHASE INO1 (Inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (Glucose 6-phosphate cyclase) (Glucocycloaldolase)
Mycobacterium_bovis_AF2122/97	NC_002945.4	51169	51711	-	1090734	-	BQ2027_MB0048C	YP_009357377.1	180	conserved protein
Mycobacterium_bovis_AF2122/97	NC_002945.4	51812	52681	-	1090735	-	BQ2027_MB0049C	YP_009357378.1	289	POSSIBLE MEMBRANE PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	52815	53228	+	1090732	-	BQ2027_MB0050	YP_009357379.1	137	CONSERVED HYPOTHETICAL PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	53221	55689	+	32286193	ponA1	BQ2027_MB0051	YP_009357380.1	822	PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 (MUREIN POLYMERASE) (PBP1): PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE)
Mycobacterium_bovis_AF2122/97	NC_002945.4	55686	57368	+	1090730	-	BQ2027_MB0052	YP_009357381.1	560	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	57400	57963	+	1090729	-	BQ2027_MB0053	YP_009357382.1	187	conserved protein
Mycobacterium_bovis_AF2122/97	NC_002945.4	58182	58472	+	1090727	rpsF	BQ2027_MB0054	YP_009357383.1	96	30s ribosomal protein s6 rpsf
Mycobacterium_bovis_AF2122/97	NC_002945.4	58576	59070	+	1094185	ssb	BQ2027_MB0055	YP_009357384.1	164	single-strand binding protein ssb (helix-destabilizing protein)
Mycobacterium_bovis_AF2122/97	NC_002945.4	59112	59366	+	1092023	rpsR1	BQ2027_MB0056	YP_009357385.1	84	30s ribosomal protein s18-1 rpsr1
Mycobacterium_bovis_AF2122/97	NC_002945.4	59399	59857	+	1093445	rplI	BQ2027_MB0057	YP_009357386.1	152	50s ribosomal protein l9 rpli
Mycobacterium_bovis_AF2122/97	NC_002945.4	59886	60407	+	1093812	-	BQ2027_MB0058	YP_009357387.1	173	HYPOTHETICAL PROTEIN BQ2027_MB0058
Mycobacterium_bovis_AF2122/97	NC_002945.4	60386	63010	+	1094330	dnaB	BQ2027_MB0059	YP_009357388.1	874	PROBABLE REPLICATIVE DNA HELICASE DNAB
Mycobacterium_bovis_AF2122/97	NC_002945.4	63190	63882	+	1093455	-	BQ2027_MB0060	YP_009357389.1	230	HYPOTHETICAL PROTEIN BQ2027_MB0060
Mycobacterium_bovis_AF2122/97	NC_002945.4	63899	64957	+	1093458	-	BQ2027_MB0061	YP_009357390.1	352	CONSERVED HYPOTHETICAL PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	65002	65340	-	32286194	-	BQ2027_MB0062A	YP_009357391.1	112	Hypothetical protein BQ2027_MB0062A
Mycobacterium_bovis_AF2122/97	NC_002945.4	65542	66684	+	1091540	celA1	BQ2027_MB0063	YP_009357392.1	380	POSSIBLE CELLULASE CELA1 (ENDOGLUCANASE) (ENDO-1,4-BETA-GLUCANASE) (FI-CMCASE) (CARBOXYMETHYL CELLULASE)
Mycobacterium_bovis_AF2122/97	NC_002945.4	66913	68352	+	1090761	-	BQ2027_MB0064	YP_009357393.1	479	POSSIBLE OXIDOREDUCTASE
Mycobacterium_bovis_AF2122/97	NC_002945.4	68610	71549	+	1093129	-	BQ2027_MB0065	YP_009357394.1	979	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	71616	71855	+	32286195	vapB1	BQ2027_MB0065A	YP_009357395.1	79	Possible antitoxin VapB1
Mycobacterium_bovis_AF2122/97	NC_002945.4	71848	72249	+	1092441	vapc1	BQ2027_MB0066	YP_009357396.1	133	possible toxin vapc1
Mycobacterium_bovis_AF2122/97	NC_002945.4	72301	74538	-	1091593	icd2	BQ2027_MB0067C	YP_009357397.1	745	PROBABLE ISOCITRATE DEHYDROGENASE
Mycobacterium_bovis_AF2122/97	NC_002945.4	74656	75225	-	1092716	-	BQ2027_MB0068C	YP_009357398.1	189	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY)
Mycobacterium_bovis_AF2122/97	NC_002945.4	75328	76239	+	1093972	-	BQ2027_MB0069	YP_009357399.1	303	PROBABLE OXIDOREDUCTASE
Mycobacterium_bovis_AF2122/97	NC_002945.4	76264	77649	-	1093594	sdaA	BQ2027_MB0070C	YP_009357400.1	461	PROBABLE L-SERINE DEHYDRATASE SDAA (L-SERINE DEAMINASE) (SDH) (L-SD)
Mycobacterium_bovis_AF2122/97	NC_002945.4	77646	78923	-	1093206	glyA2	BQ2027_MB0071C	YP_009357401.1	425	serine hydroxymethyltransferase glya2 (serine methylase 2) (shmt 2)
Mycobacterium_bovis_AF2122/97	NC_002945.4	79513	80229	+	1093539	-	BQ2027_MB0072	YP_009357402.1	238	POSSIBLE MATURASE
Mycobacterium_bovis_AF2122/97	NC_002945.4	80660	81709	+	1092905	-	BQ2027_MB0073	YP_009357403.1	349	PROBABLE GLUTAMINE-TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER
Mycobacterium_bovis_AF2122/97	NC_002945.4	81712	82554	+	1092947	-	BQ2027_MB0074	YP_009357404.1	280	PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER GLNQ
Mycobacterium_bovis_AF2122/97	NC_002945.4	82557	82703	+	32286196	-	BQ2027_MB0075	YP_009357405.1	48	PROBABLE GLUTAMINE-TRANSPORT PROTEIN ABC TRANSPORTER GLNQ
Mycobacterium_bovis_AF2122/97	NC_002945.4	82783	84018	+	1094024	-	BQ2027_MB0076	YP_009357406.1	411	conserved protein
Mycobacterium_bovis_AF2122/97	NC_002945.4	84031	85203	+	1093551	-	BQ2027_MB0077	YP_009357407.1	390	PROBABLE AMINOTRANSFERASE
Mycobacterium_bovis_AF2122/97	NC_002945.4	85218	85607	-	1094021	-	BQ2027_MB0078C	YP_009357408.1	129	PROBABLE MEMBRANE PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	85671	86501	-	1094035	-	BQ2027_MB0079C	YP_009357409.1	276	PROBABLE OXIDOREDUCTASE
Mycobacterium_bovis_AF2122/97	NC_002945.4	86563	87168	+	1093687	-	BQ2027_MB0080	YP_009357410.1	201	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	87243	87836	-	1092274	-	BQ2027_MB0081C	YP_009357411.1	197	HYPOTHETICAL PROTEIN BQ2027_MB0081C
Mycobacterium_bovis_AF2122/97	NC_002945.4	87833	88039	-	32286197	-	BQ2027_MB0081A	YP_009357412.1	68	Conserved protein
Mycobacterium_bovis_AF2122/97	NC_002945.4	88239	89060	+	1090764	-	BQ2027_MB0082	YP_009357413.1	273	unknown protein
Mycobacterium_bovis_AF2122/97	NC_002945.4	89057	89515	+	1090766	-	BQ2027_MB0083	YP_009357414.1	152	CONSERVED HYPOTHETICAL PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	89610	89954	+	1090765	-	BQ2027_MB0084	YP_009357415.1	114	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	89959	90438	+	1090768	-	BQ2027_MB0085	YP_009357416.1	159	PROBABLE OXIDOREDUCTASE
Mycobacterium_bovis_AF2122/97	NC_002945.4	90435	92363	+	1090767	-	BQ2027_MB0086	YP_009357417.1	642	PROBABLE OXIDOREDUCTASE
Mycobacterium_bovis_AF2122/97	NC_002945.4	92363	93313	+	1090769	hycD	BQ2027_MB0087	YP_009357418.1	316	POSSIBLE FORMATE HYDROGENLYASE HYCD (FHL)
Mycobacterium_bovis_AF2122/97	NC_002945.4	93324	93986	+	1090770	hycP	BQ2027_MB0088	YP_009357419.1	220	POSSIBLE HYDROGENASE HYCP
Mycobacterium_bovis_AF2122/97	NC_002945.4	93986	95452	+	1090772	hycQ	BQ2027_MB0089	YP_009357420.1	488	POSSIBLE HYDROGENASE HYCQ
Mycobacterium_bovis_AF2122/97	NC_002945.4	95449	96927	+	1090771	hycE	BQ2027_MB0090	YP_009357421.1	492	possible formate hydrogenase hyce (fhl)
Mycobacterium_bovis_AF2122/97	NC_002945.4	96962	97636	+	1090773	-	BQ2027_MB0091	YP_009357422.1	224	possible polyketide cyclase/dehydrase
Mycobacterium_bovis_AF2122/97	NC_002945.4	97793	98386	+	1090775	-	BQ2027_MB0092	YP_009357423.1	197	POSSIBLE METHYLTRANSFERASE/METHYLASE
Mycobacterium_bovis_AF2122/97	NC_002945.4	98515	99285	+	1090776	-	BQ2027_MB0093	YP_009357424.1	256	POSSIBLE MEMBRANE PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	99719	100486	+	1090778	mtn	BQ2027_MB0094	YP_009357425.1	255	probable bifunctional mta/sah nucleosidase mtn: 5\'-methylthioadenosine nucleosidase (methylthioadenosine methylthioribohydrolase) + s-adenosylhomocysteine nucleosidase (s-adenosyl-l-homocysteine homocysteinylribohydrolase)
Mycobacterium_bovis_AF2122/97	NC_002945.4	100618	102903	+	1090777	ctpA	BQ2027_MB0095	YP_009357426.1	761	cation transporter p-type atpase a ctpa
Mycobacterium_bovis_AF2122/97	NC_002945.4	102850	103698	-	1090779	-	BQ2027_MB0096C	YP_009357427.1	282	PROBABLE CONSERVED MEMBRANE PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	103745	104464	-	32286198	-	BQ2027_MB0097C	YP_009357428.1	239	CONSERVED HYPOTHETICAL PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	104469	105251	-	1090781	-	BQ2027_MB0098C	YP_009357429.1	260	CONSERVED HYPOTHETICAL PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	105360	106751	+	1090782	PPE1	BQ2027_MB0099	YP_009357430.1	463	ppe family protein ppe1
Mycobacterium_bovis_AF2122/97	NC_002945.4	106770	107639	+	1090783	-	BQ2027_MB0100	YP_009357431.1	289	POSSIBLE OXIDOREDUCTASE
Mycobacterium_bovis_AF2122/97	NC_002945.4	107636	108187	+	1090784	fcot	BQ2027_MB0101	YP_009357432.1	183	probable fatty acyl coa thioesterase type iii fcot
Mycobacterium_bovis_AF2122/97	NC_002945.4	108192	109814	+	1090785	fadD10	BQ2027_MB0102	YP_009357433.1	540	POSSIBLE FATTY-ACID-COA LIGASE FADD10 (FATTY-ACID-COA SYNTHETASE) (FATTY-ACID-COA SYNTHASE)
Mycobacterium_bovis_AF2122/97	NC_002945.4	109819	110055	+	1090787	-	BQ2027_MB0103	YP_009357434.1	78	CONSERVED HYPOTHETICAL PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	110037	117575	+	1090786	nrp	BQ2027_MB0104	YP_009357435.1	2512	PROBABLE PEPTIDE SYNTHETASE NRP (PEPTIDE SYNTHASE)
Mycobacterium_bovis_AF2122/97	NC_002945.4	117750	119735	+	1090788	-	BQ2027_MB0105	YP_009357436.1	661	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	119951	122209	-	1090789	ctpB	BQ2027_MB0106C	YP_009357437.1	752	PROBABLE CATION-TRANSPORTER P-TYPE ATPASE B CTPB
Mycobacterium_bovis_AF2122/97	NC_002945.4	122353	123867	+	1090790	-	BQ2027_MB0107	YP_009357438.1	504	CONSERVED HYPOTHETICAL PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	124016	124300	-	1090791	rpmB1	BQ2027_MB0108C	YP_009357439.1	94	50s ribosomal protein l28-1 rpmb1
Mycobacterium_bovis_AF2122/97	NC_002945.4	124410	125606	+	1090792	-	BQ2027_MB0109	YP_009357440.1	398	CONSERVED HYPOTHETICAL PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	125701	130578	-	1090794	ctpI	BQ2027_MB0111C	YP_009357441.1	1625	PROBABLE CATION-TRANSPORTER ATPASE I CTPI
Mycobacterium_bovis_AF2122/97	NC_002945.4	130932	131141	-	1090793	-	BQ2027_MB0112C	YP_009357442.1	69	HYPOTHETICAL PROTEIN BQ2027_MB0112C
Mycobacterium_bovis_AF2122/97	NC_002945.4	131420	132910	+	1090796	PE_PGRS1	BQ2027_MB0113	YP_009357443.1	496	pe-pgrs family protein pe_pgrs1
Mycobacterium_bovis_AF2122/97	NC_002945.4	133058	133807	+	1090795	-	BQ2027_MB0114	YP_009357444.1	249	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	133988	136045	+	1090798	-	BQ2027_MB0115	YP_009357445.1	685	POSSIBLE TRANSMEMBRANE ACYLTRANSFERASE
Mycobacterium_bovis_AF2122/97	NC_002945.4	136327	137283	+	1090797	gca	BQ2027_MB0116	YP_009357446.1	318	POSSIBLE GDP-MANNOSE 4,6-DEHYDRATASE GCA (GDP-D-MANNOSE DEHYDRATASE)
Mycobacterium_bovis_AF2122/97	NC_002945.4	137357	137947	+	1090800	gmhA	BQ2027_MB0117	YP_009357447.1	196	probable sedoheptulose-7-phosphate isomerase gmha (phosphoheptose isomerase)
Mycobacterium_bovis_AF2122/97	NC_002945.4	137979	138551	+	1090799	gmhb	BQ2027_MB0118	YP_009357448.1	190	possible d-alpha,beta-d-heptose-1,7-biphosphate phosphatase gmhb (d-glycero-d-manno-heptose 7-phosphate kinase)
Mycobacterium_bovis_AF2122/97	NC_002945.4	138702	139619	+	1090801	hdda	BQ2027_MB0119	YP_009357449.1	305	possible d-alpha-d-heptose-7-phosphate kinase hdda
Mycobacterium_bovis_AF2122/97	NC_002945.4	140307	141062	-	1090802	ldta	BQ2027_MB0120C	YP_009357450.1	251	probable l,d-transpeptidase ldta
Mycobacterium_bovis_AF2122/97	NC_002945.4	141240	142184	+	1090804	oxyS	BQ2027_MB0121	YP_009357451.1	314	OXIDATIVE STRESS RESPONSE REGULATORY PROTEIN OXYS
Mycobacterium_bovis_AF2122/97	NC_002945.4	142168	143916	-	1090803	oxcA	BQ2027_MB0122C	YP_009357452.1	582	PROBABLE OXALYL-COA DECARBOXYLASE OXCA
Mycobacterium_bovis_AF2122/97	NC_002945.4	144089	145666	+	1090805	fadD7	BQ2027_MB0123	YP_009357453.1	525	PROBABLE FATTY-ACID-COA LIGASE FADD7 (FATTY-ACID-COA SYNTHETASE) (FATTY-ACID-COA SYNTHASE)
Mycobacterium_bovis_AF2122/97	NC_002945.4	145667	147460	-	1090806	fusA2b	BQ2027_MB0124C	YP_009357454.1	597	PROBABLE ELONGATION FACTOR G FUSA2B
Mycobacterium_bovis_AF2122/97	NC_002945.4	147457	147810	-	1093624	fusA2a	BQ2027_MB0125C	YP_009357455.1	117	PROBABLE ELONGATION FACTOR G FUSA2A
Mycobacterium_bovis_AF2122/97	NC_002945.4	147946	148380	-	1092954	-	BQ2027_MB0126C	YP_009357456.1	144	conserved protein
Mycobacterium_bovis_AF2122/97	NC_002945.4	148529	148897	+	1090807	-	BQ2027_MB0127	YP_009357457.1	122	HYPOTHETICAL PROTEIN BQ2027_MB0127
Mycobacterium_bovis_AF2122/97	NC_002945.4	148894	149262	+	1090808	-	BQ2027_MB0128	YP_009357458.1	122	unknown protein
Mycobacterium_bovis_AF2122/97	NC_002945.4	149571	151187	+	1090809	PE_PGRS2	BQ2027_MB0129	YP_009357459.1	538	pe-pgrs family protein pe_pgrs2
Mycobacterium_bovis_AF2122/97	NC_002945.4	151339	152406	+	1090810	pepA	BQ2027_MB0130	YP_009357460.1	355	probable serine protease pepa (serine proteinase) (mtb32a)
Mycobacterium_bovis_AF2122/97	NC_002945.4	152515	154320	+	1090811	treS	BQ2027_MB0131	YP_009357461.1	601	TREHALOSE SYNTHASE TRES
Mycobacterium_bovis_AF2122/97	NC_002945.4	154423	155790	+	1090812	mak	BQ2027_MB0132	YP_009357462.1	455	maltokinase mak
Mycobacterium_bovis_AF2122/97	NC_002945.4	155858	156637	+	1090813	-	BQ2027_MB0133	YP_009357463.1	259	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	156769	157791	-	1090815	fbpC	BQ2027_MB0134C	YP_009357464.1	340	SECRETED ANTIGEN 85-C FBPC (85C) (ANTIGEN 85 COMPLEX C) (AG58C) (MYCOLYL TRANSFERASE 85C) (FIBRONECTIN-BINDING PROTEIN C)
Mycobacterium_bovis_AF2122/97	NC_002945.4	158038	158493	+	1090816	htdz	BQ2027_MB0135	YP_009357465.1	151	probable 3-hydroxyl-thioester dehydratase
Mycobacterium_bovis_AF2122/97	NC_002945.4	158506	159849	-	1090817	fadE1	BQ2027_MB0136C	YP_009357466.1	447	PROBABLE ACYL-CoA DEHYDROGENASE FADE1
Mycobacterium_bovis_AF2122/97	NC_002945.4	159891	160973	-	1090819	fgd2	BQ2027_MB0137C	YP_009357467.1	360	putative f420-dependent glucose-6-phosphate dehydrogenase fgd2
Mycobacterium_bovis_AF2122/97	NC_002945.4	161060	161665	+	1090818	-	BQ2027_MB0138	YP_009357468.1	201	gcn5-related n-acetyltransferase
Mycobacterium_bovis_AF2122/97	NC_002945.4	162834	163439	-	1090824	-	BQ2027_MB0140C	YP_009357469.1	201	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	163556	164881	+	1090826	cyp138	BQ2027_MB0141	YP_009357470.1	441	PROBABLE CYTOCHROME P450 138 CYP138
Mycobacterium_bovis_AF2122/97	NC_002945.4	164902	165450	-	1090825	msrA	BQ2027_MB0142C	YP_009357471.1	182	PROBABLE PEPTIDE METHIONINE SULFOXIDE REDUCTASE MSRA (PROTEIN-METHIONINE-S-OXIDE REDUCTASE) (PEPTIDE MET(O) REDUCTASE)
Mycobacterium_bovis_AF2122/97	NC_002945.4	165513	166016	+	1090827	-	BQ2027_MB0143	YP_009357472.1	167	CONSERVED HYPOTHETICAL PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	166017	167039	+	1090830	-	BQ2027_MB0144	YP_009357473.1	340	possible oxidoreductase
